id,post_date,reporting_date,country_code,author_id,overall_sentiment,brand,model,variant,ownership_status,vehicle_id,id-3,feedback_sentiment,feedback_subcategory
1028730,25/01/2025,27/01/2025,DE,4561,Neutral,Skoda,Enyaq,nan,Owner,5,390630,Neutral,Autonomy/Range
1028730,25/01/2025,27/01/2025,DE,4561,Neutral,Skoda,Enyaq,nan,Owner,5,390629,Neutral,Price
1028730,25/01/2025,27/01/2025,DE,4561,Neutral,Skoda,Enyaq,nan,Owner,5,390628,Negative,Overall Disappointment With the Brand
1029366,21/01/2025,27/01/2025,DE,4478,Neutral,Skoda,Enyaq,nan,Owner,5,395271,Negative,Product Concern/Query
551981,10/01/2025,13/01/2025,DE,4504,Neutral,Skoda,Enyaq,nan,Owner,5,144581,Neutral,Charging Experience
1028997,24/01/2025,27/01/2025,DE,410032,Negative,Skoda,Enyaq,nan,Owner,5,391208,Neutral,Infotainment
1311933,03/02/2025,10/02/2025,DE,4551,Neutral,Skoda,Enyaq,nan,Owner,5,700871,Negative,Aftersales (Dealer)
1340044,08/02/2025,10/02/2025,DE,4505,Neutral,Skoda,Enyaq,nan,Owner,5,728467,Neutral,Product Concern/Query
701402,03/01/2025,06/01/2025,UK,300129,Positive,Tesla,Model 3,nan,Owner,18,228529,Positive,Brand/Product Pride
1295994,08/02/2025,10/02/2025,NL,557967,Negative,Skoda,Enyaq,nan,Owner,5,673926,Negative,Price
1295994,08/02/2025,10/02/2025,NL,557967,Negative,Skoda,Enyaq,nan,Owner,5,673925,Negative,Overall Satisfaction With the Car
1028977,24/01/2025,27/01/2025,DE,410032,Negative,Skoda,Enyaq,nan,Owner,5,391172,Negative,Infotainment
960626,24/01/2025,27/01/2025,DE,410032,Negative,Skoda,Enyaq,nan,Owner,5,485295,Neutral,Product Concern/Query
1025951,25/01/2025,27/01/2025,DE,340923,Neutral,Skoda,Enyaq,nan,Showing Interest,5,460067,Negative,Autonomy/Range
1025951,25/01/2025,27/01/2025,DE,340923,Neutral,Skoda,Enyaq,nan,Showing Interest,5,460068,Negative,Charging Experience
1025951,25/01/2025,27/01/2025,DE,340923,Neutral,Skoda,Enyaq,nan,Showing Interest,5,460069,Negative,Quality
1025951,25/01/2025,27/01/2025,DE,340923,Neutral,Skoda,Enyaq,nan,Showing Interest,5,460070,Negative,Overall Disappointment With the Brand
1025951,25/01/2025,27/01/2025,DE,340923,Neutral,Skoda,Enyaq,nan,Showing Interest,5,460066,Neutral,Test Drive
1057425,22/01/2025,27/01/2025,UK,456073,Neutral,Skoda,Enyaq,nan,Owner,5,477097,Neutral,Product Concern/Query
1029558,20/01/2025,27/01/2025,DE,443450,Negative,Skoda,Enyaq,nan,Owner,5,414226,Negative,Product Concern/Query
507390,04/01/2025,06/01/2025,NL,176401,Positive,Skoda,Enyaq,nan,Owner,5,129058,Neutral,Product Concern/Query
1028970,24/01/2025,27/01/2025,DE,4568,Neutral,Skoda,Enyaq,nan,Owner,5,391092,Neutral,Product Concern/Query
1029199,22/01/2025,27/01/2025,DE,4505,Negative,Skoda,Enyaq,nan,Owner,5,507754,Neutral,Product Concern/Query
960486,26/01/2025,27/01/2025,DE,409990,Negative,Skoda,Enyaq,nan,Owner,5,446757,Neutral,Servicing
960486,26/01/2025,27/01/2025,DE,409990,Negative,Skoda,Enyaq,nan,Owner,5,446756,Negative,Quality
1027856,22/01/2025,27/01/2025,FR,442917,Negative,Skoda,Enyaq,60,Owner,5,461155,Negative,Battery
1027856,22/01/2025,27/01/2025,FR,442917,Negative,Skoda,Enyaq,60,Owner,5,461154,Negative,Autonomy/Range
1083176,26/01/2025,27/01/2025,UK,458658,Negative,Skoda,Enyaq,nan,Owner,5,517995,Negative,Product Concern/Query
1083176,26/01/2025,27/01/2025,UK,458658,Negative,Skoda,Enyaq,nan,Owner,5,513193,Negative,Quality
1083176,26/01/2025,27/01/2025,UK,458658,Negative,Skoda,Enyaq,nan,Owner,5,513194,Negative,Aftersales (Dealer)
1057416,21/01/2025,27/01/2025,UK,456065,Negative,Skoda,Enyaq,nan,Owner,5,416669,Negative,12V Battery
1047876,25/01/2025,27/01/2025,NL,176398,Negative,Skoda,Enyaq,nan,Owner,5,477801,Negative,Infotainment
1057184,23/01/2025,27/01/2025,NL,386474,Positive,Skoda,Enyaq,nan,Owner,5,504221,Positive,Overall Satisfaction With the Car
1029190,22/01/2025,27/01/2025,DE,443387,Negative,Skoda,Enyaq,85,Pre-Ownership,5,391970,Neutral,Order Status
1039714,21/01/2025,27/01/2025,DE,259,Negative,Skoda,Enyaq,nan,Owner,5,461554,Neutral,Driving Technologies
515188,06/01/2025,13/01/2025,ES,178296,Positive,Tesla,Model 3,nan,Owner,18,100127,Positive,Handling/Driving Experience
1057449,20/01/2025,27/01/2025,UK,456085,Positive,Skoda,Enyaq,nan,Owner,5,469369,Neutral,Product Concern/Query
507083,01/01/2025,06/01/2025,DE,200,Positive,Skoda,Enyaq,nan,Owner,5,90268,Negative,Charging Infrastructure
507083,01/01/2025,06/01/2025,DE,200,Positive,Skoda,Enyaq,nan,Owner,5,90269,Positive,Handling/Driving Experience
1029482,20/01/2025,27/01/2025,DE,154,Neutral,Skoda,Enyaq,nan,Owner,5,399668,Neutral,Product Concern/Query
1339707,08/02/2025,10/02/2025,DE,443437,Neutral,Skoda,Enyaq,nan,Owner,5,724539,Neutral,Customer Care
1312170,06/02/2025,10/02/2025,DE,316,Neutral,Skoda,Enyaq,nan,Owner,5,699264,Positive,Interior Design
1311972,06/02/2025,10/02/2025,DE,4498,Neutral,Skoda,Enyaq,nan,Owner,5,676284,Neutral,Aftersales (Dealer)
1057597,24/01/2025,27/01/2025,UK,456108,Neutral,Skoda,Enyaq,85x S/L plus,Pre-Ownership,5,417631,Neutral,Delivery Timings
1029137,23/01/2025,27/01/2025,DE,4515,Neutral,Skoda,Enyaq,nan,Owner,5,494931,Neutral,Product Concern/Query
1039737,21/01/2025,27/01/2025,DE,342672,Negative,Skoda,Enyaq,iv80,Owner,5,407683,Negative,Autonomy/Range
1039737,21/01/2025,27/01/2025,DE,342672,Negative,Skoda,Enyaq,iv80,Owner,5,407685,Negative,Overall Disappointment With the Brand
1039737,21/01/2025,27/01/2025,DE,342672,Negative,Skoda,Enyaq,iv80,Owner,5,407684,Negative,Charging Infrastructure
1039571,23/01/2025,27/01/2025,UK,185558,Neutral,Skoda,Enyaq,60,Showing Interest,5,407418,Neutral,Autonomy/Range
960523,26/01/2025,27/01/2025,DE,4464,Neutral,Skoda,Enyaq,nan,Owner,5,446765,Neutral,Infotainment
1039759,21/01/2025,27/01/2025,ES,176514,Neutral,Skoda,Enyaq,sportiline RWD,Showing Interest,5,408735,Neutral,Test Drive
1039692,22/01/2025,27/01/2025,UK,447667,Neutral,Skoda,Enyaq,nan,Showing Interest,5,458520,Neutral,Switching to Another Brand
1039692,22/01/2025,27/01/2025,UK,447667,Neutral,Skoda,Enyaq,nan,Showing Interest,5,458519,Neutral,Test Drive
